UID        PID  PPID  C STIME TTY          TIME CMD
kmaduri  26614 26483  0 15:28 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=1 --primordial-pipe-token=8C7118608B7BD0271D4BB8399421F7FB --lang=en-US --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603, --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=false --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553 --disable-accelerated-video-decode --disable-webrtc-hw-vp8-encoding --disable-gpu-compositing --service-request-channel-token=8C7118608B7BD0271D4BB8399421F7FB --renderer-client-id=7 --shared-files=v8_natives_data:100,v8_snapshot_data:101
kmaduri  26647 26468  0 15:28 ?        00:00:00 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=1 --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603, --use-gl=swiftshader-webgl --supports-dual-gpus=false --gpu-driver-bug-workarounds=7,24,30,76 --disable-gl-extensions=GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent --disable-webrtc-hw-encoding --gpu-vendor-id=0x80ee --gpu-device-id=0xbeef --gpu-driver-vendor=Google Inc. --gpu-driver-version=3.3.0.2 --gpu-driver-date=2017/04/07 --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603, --service-request-channel-token=54D71750BB7F67C8A5ABA239063516ED
kmaduri  26649 26647  0 15:28 ?        00:00:00 /opt/google/chrome/chrome --type=gpu-broker
kmaduri  26654 26480  0 15:28 ?        00:00:00 /opt/google/chrome/nacl_helper
root     26728     2  0 15:29 ?        00:00:00 [kworker/0:1]
kmaduri  26740  2355  0 15:29 pts/1    00:00:00 tmux
kmaduri  26742  1223  0 15:29 ?        00:00:01 tmux
kmaduri  26743 26742  0 15:29 pts/18   00:00:00 -bash
root     27267     2  0 15:33 ?        00:00:00 [kworker/2:0]
root     27286     2  0 15:34 ?        00:00:00 [kworker/u8:1]
kmaduri  27287 26742  0 15:34 pts/19   00:00:00 -bash
kmaduri  27994 26483  1 15:40 ?        00:00:11 /opt/google/chrome/chrome --type=renderer --field-trial-handle=1 --primordial-pipe-token=A6D24E7AB723B4BC25A0B56EC26AB967 --lang=en-US --enable-crash-reporter=d7f83f03-9020-46e3-a337-458720621603, --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=false --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553 --disable-accelerated-video-decode --disable-webrtc-hw-vp8-encoding --disable-gpu-compositing --service-request-channel-token=A6D24E7AB723B4BC25A0B56EC26AB967 --renderer-client-id=34 --shared-files=v8_natives_data:100,v8_snapshot_data:101
root     28052     2  0 15:40 ?        00:00:00 [kworker/1:1]
root     28714     2  0 15:50 ?        00:00:00 [kworker/u8:2]
kmaduri  29165 26743  0 15:53 pts/18   00:00:00 vi day2_defer.go
root     29484   736  0 15:56 ?        00:00:00 sleep 20
root     29515     2  0 15:56 ?        00:00:00 [kworker/u8:0]
kmaduri  29516 27287  0 15:57 pts/19   00:00:00 ps -ef
